Symbol,TransactionType,CompanyName,Exchange,Quantity,FXRate,Currency,SecurityType,Price,Amount,CreateDate
PRK/J3,Market - Buy,Pork Cutout Futures APR 23,US,1,1.00,USD,Futures,$90.5750,$0.0000,03/06/2023 - 09:57
EUR/GBP,Market - Buy,Euro/GBP,FX,100000,0.83,GBP,Spots,£0.8885,£0.0000,03/06/2023 - 09:56
EUR/USD,Market - Buy,EUR/USD,FX,100000,1.00,USD,Spots,$1.0670,$0.0000,03/06/2023 - 09:56
GC/H3,Market - Sell,GOLD MAR 13,US,-73,1.00,USD,Futures,"$1,849.4000","$283,240.0000",03/06/2023 - 08:49
PA/H3,Market - Sell,PALLA MAR 13,US,-115,1.00,USD,Futures,"$1,390.5000","-$80,500.0000",03/06/2023 - 08:49
ES/H3,Market - Sell,SP-MIN MAR 13,US,-30,1.00,USD,Futures,"$4,062.0000","$117,375.0000",03/06/2023 - 08:49
HG/H3,Market - Sell,COPPER MAR 13,US,-70,1.00,USD,Futures,$4.0620,"$214,375.0000",03/06/2023 - 08:48
ES/H3,Market - Buy,SP-MIN MAR 13,US,30,1.00,USD,Futures,"$3,983.7500",$0.0000,02/27/2023 - 02:58
PA/H3,Market - Buy,PALLA MAR 13,US,115,1.00,USD,Futures,"$1,397.5000",$0.0000,02/27/2023 - 02:47
HG/H3,Market - Buy,COPPER MAR 13,US,70,1.00,USD,Futures,$3.9395,$0.0000,02/27/2023 - 02:46
GC/H3,Market - Buy,GOLD MAR 13,US,73,1.00,USD,Futures,"$1,810.6000",$0.0000,02/27/2023 - 02:46
